State_Name,District_Name,Crop_Year,Season,Crop,Temperature,humidity,soil moisture, area,Production
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Jowar,36,35,45,310,461
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Lemon,37,40,46,988,3824
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Maize,36,41,50,755,2500
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Mango,37,42,55,15820,191027
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Moong(Green Gram),36,40,54,483,324
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Onion,34,45,52,563,10337
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,other oilseeds,34,55,62,8923,185768
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Papaya,35,50,59,305,24011
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Pome Granet,25,55,55,10,104
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Ragi,36,35,45,406,387
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Rice,37,40,46,226072,681833
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Sapota,36,41,50,244,2041
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Sesamum,37,42,55,436,119
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Small millets,36,40,54,469,260
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Soyabean,34,45,52,11,25
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Sugarcane,34,55,62,12405,1056420
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Tobacco,35,50,59,1007,4578
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Tomato,25,55,55,407,5851
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Turmeric,36,35,45,160,1151
Andhra Pradesh,EAST GODAVARI,2001,Kharif     ,Urad,37,40,46,2605,2670
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Arhar/Tur,36,41,50,56,47
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Brinjal,37,42,55,974,5897
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Cabbage,36,40,54,23,284
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Cowpea(Lobia),34,45,52,161,181
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Dry chillies,34,55,62,2632,3201
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Gram,35,50,59,97,187
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Groundnut,25,55,55,338,1099
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Horse-gram,36,35,45,86,36
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Jowar,37,40,46,1776,1160
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Maize,36,41,50,12156,98257
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Mesta,37,42,55,52,355
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Moong(Green Gram),36,40,54,16204,5914
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Onion,34,45,52,15,265
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Ragi,34,55,62,6,9
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Rice,35,50,59,168045,881396
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Sesamum,25,55,55,3016,570
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Sunflower,36,35,45,379,365
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Sweet potato,37,40,46,33,364
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Tobacco,36,41,50,3010,13721
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Tomato,37,42,55,628,8509
Andhra Pradesh,EAST GODAVARI,2001,Rabi       ,Urad,36,40,54,18500,7641
Andhra Pradesh,EAST GODAVARI,2001,Whole Year ,Coconut ,34,45,52,46865,780162000
Andhra Pradesh,EAST GODAVARI,2001,Whole Year ,Rice,34,55,62,394117,1563229
Andhra Pradesh,GUNTUR,2001,Kharif     ,Arhar/Tur,35,50,59,28400,14900
Andhra Pradesh,GUNTUR,2001,Kharif     ,Bajra,25,55,55,100,100
Andhra Pradesh,GUNTUR,2001,Kharif     ,Castor seed,36,35,45,1600,300
Andhra Pradesh,GUNTUR,2001,Kharif     ,Cotton(lint),37,40,46,162300,432500
Andhra Pradesh,GUNTUR,2001,Kharif     ,Dry chillies,36,41,50,27100,97300
Andhra Pradesh,GUNTUR,2001,Kharif     ,Groundnut,37,42,55,300,300
Andhra Pradesh,GUNTUR,2001,Kharif     ,Jowar,36,40,54,200,100
Andhra Pradesh,GUNTUR,2001,Kharif     ,Maize,34,45,52,1700,3100
Andhra Pradesh,GUNTUR,2001,Kharif     ,Moong(Green Gram),34,55,62,7400,2800
Andhra Pradesh,GUNTUR,2001,Kharif     ,Rice,35,50,59,295000,845300
Andhra Pradesh,GUNTUR,2001,Kharif     ,Sesamum,25,55,55,400,100
Andhra Pradesh,GUNTUR,2001,Kharif     ,Small millets,36,35,45,4000,200
Andhra Pradesh,GUNTUR,2001,Kharif     ,Sugarcane,37,40,46,1600,109600
Andhra Pradesh,GUNTUR,2001,Kharif     ,Sunflower,36,41,50,300,200
Andhra Pradesh,GUNTUR,2001,Kharif     ,Tobacco,37,42,55,11400,13200
Andhra Pradesh,GUNTUR,2001,Kharif     ,Urad,36,40,54,7100,1200
Andhra Pradesh,GUNTUR,2001,Rabi       ,Arhar/Tur,34,45,52,1800,1000
Andhra Pradesh,GUNTUR,2001,Rabi       ,Dry chillies,34,55,62,700,1300
Andhra Pradesh,GUNTUR,2001,Rabi       ,Gram,35,50,59,3000,1500
Andhra Pradesh,GUNTUR,2001,Rabi       ,Groundnut,25,55,55,4500,6500
Andhra Pradesh,GUNTUR,2001,Rabi       ,Jowar,36,35,45,2400,3500
Andhra Pradesh,GUNTUR,2001,Rabi       ,Maize,37,40,46,5000,19000
Andhra Pradesh,GUNTUR,2001,Rabi       ,Moong(Green Gram),36,41,50,7700,3100
Andhra Pradesh,GUNTUR,2001,Rabi       ,Rice,37,42,55,14500,51800
Andhra Pradesh,GUNTUR,2001,Rabi       ,Sesamum,36,40,54,4700,900
Andhra Pradesh,GUNTUR,2001,Rabi       ,Urad,34,45,52,153000,75400
Andhra Pradesh,GUNTUR,2001,Rabi       ,Varagu,34,55,62,400,300
Andhra Pradesh,GUNTUR,2001,Kharif     ,Arhar/Tur,35,50,59,27100,20700
Andhra Pradesh,GUNTUR,2001,Kharif     ,Bajra,25,55,55,100,100
Andhra Pradesh,GUNTUR,2001,Kharif     ,Castor seed,36,35,45,1400,200
Andhra Pradesh,GUNTUR,2001,Kharif     ,Cotton(lint),37,40,46,193600,120700
Andhra Pradesh,GUNTUR,2001,Kharif     ,Dry chillies,36,41,50,36500,130500
